ip,port,country,city,datacenter,asn,organization,source_latency_ms,baidu_delay_ms,tested,cn2,cn2_evidence,trace_url,trace_status,traced_at,route_class,route_evidence
165.99.42.86,443,HK,香港,HKG,401701,cognetcloud INC,1.0,2067,True,True,"Guangzhou: 59.43.130.114, 59.43.248.246; Beijing: 59.43.181.222, 59.43.19.94, 59.43.246.226",https://globalping.io?measurement=2rxcprta5C4l0nuTx00020wGv,cn2_gt,2026-08-13T05:53:23Z,cn2_gt,"Guangzhou: 59.43.130.114, 59.43.248.246; Beijing: 59.43.181.222, 59.43.19.94, 59.43.246.226"
166.88.77.181,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,1.0,3153,True,True,Nanjing: 59.43.139.129,https://globalping.io?measurement=2HFpVGmKwkJdTTqNz00020wHC,cn2_gt,2026-08-13T06:10:34Z,cn2_gt,Nanjing: 59.43.139.129
175.29.23.34,443,HK,香港,HKG,137897,"PAN-LIAN TECHNOLOGY CO., LIMITED",1.0,2158,True,True,"Guangzhou: 59.43.187.182; Nanjing: 59.43.139.129, 59.43.187.182; Beijing: 59.43.132.30, 59.43.250.174",https://globalping.io?measurement=2NGChCw18cKL5U5xf00020wHC,cn2_gt,2026-08-13T06:10:36Z,cn2_gt,"Guangzhou: 59.43.187.182; Nanjing: 59.43.139.129, 59.43.187.182; Beijing: 59.43.132.30, 59.43.250.174"
175.29.23.46,443,HK,香港,HKG,137897,"PAN-LIAN TECHNOLOGY CO., LIMITED",1.0,,True,True,"Guangzhou: 59.43.187.178, 59.43.250.50; Nanjing: 59.43.187.178, 59.43.42.33; Beijing: 59.43.246.210; Shenzhen: 59.43.16.166, 59.43.183.106",https://globalping.io?measurement=2b65AXKt4U8N2DKuA00020wGv,cn2_gt,2026-08-13T05:53:37Z,cn2_gt,"Guangzhou: 59.43.187.178, 59.43.250.50; Nanjing: 59.43.187.178, 59.43.42.33; Beijing: 59.43.246.210; Shenzhen: 59.43.16.166, 59.43.183.106"
191.222.216.163,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,1681,True,True,Shenzhen: 59.43.250.54,https://globalping.io?measurement=2Zt8Z91aP5UrDYD5L00020wFc,cn2_gt,2026-08-13T04:32:39Z,cn2_gt,Shenzhen: 59.43.250.54
191.222.216.205,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,,True,True,Xi'an: 59.43.46.157,https://globalping.io?measurement=2XjG9uQt12T5x4G8K00020wb9,cn2_gt,2026-08-14T02:47:14Z,cn2_gt,Xi'an: 59.43.46.157
216.38.170.102,443,HK,新加坡,SIN,4515,PCCW IMS Ltd (PCCW Business Internet Access),1.0,1783,True,True,"Guangzhou: 59.43.248.202; Nanjing: 59.43.187.182, 59.43.42.33",https://globalping.io?measurement=2PXGIqYnkaHwNxcIk00020wF6,cn2_gt,2026-08-13T04:01:07Z,cn2_gt,"Guangzhou: 59.43.248.202; Nanjing: 59.43.187.182, 59.43.42.33"
216.38.170.103,443,HK,新加坡,SIN,4515,PCCW IMS Ltd (PCCW Business Internet Access),1.0,1808,True,True,"Guangzhou: 59.43.248.202; Beijing: 59.43.246.210, 59.43.38.106",https://globalping.io?measurement=2C0iaw1yO2wKxhRbD00020wGj,cn2_gt,2026-08-13T05:41:54Z,cn2_gt,"Guangzhou: 59.43.248.202; Beijing: 59.43.246.210, 59.43.38.106"
216.38.170.104,443,HK,新加坡,SIN,137897,"PAN-LIAN TECHNOLOGY CO., LIMITED",1.0,1571,True,True,"Nanjing: 59.43.123.89, 59.43.187.182; Beijing: 59.43.19.94, 59.43.250.174; Shenzhen: 59.43.183.106",https://globalping.io?measurement=2l87xNq6UUA16VkHZ00020wFq,cn2_gt,2026-08-13T04:46:58Z,cn2_gt,"Nanjing: 59.43.123.89, 59.43.187.182; Beijing: 59.43.19.94, 59.43.250.174; Shenzhen: 59.43.183.106"
216.38.170.176,443,HK,新加坡,SIN,137897,"PAN-LIAN TECHNOLOGY CO., LIMITED",1.0,1529,True,True,"Guangzhou: 59.43.183.106; Nanjing: 59.43.183.106, 59.43.42.33; Beijing: 59.43.182.110, 59.43.19.98",https://globalping.io?measurement=2RPlX1sIUt7bCPIpJ00020wGN,cn2_gt,2026-08-13T05:20:07Z,cn2_gt,"Guangzhou: 59.43.183.106; Nanjing: 59.43.183.106, 59.43.42.33; Beijing: 59.43.182.110, 59.43.19.98"
216.38.170.178,443,HK,新加坡,SIN,137897,"PAN-LIAN TECHNOLOGY CO., LIMITED",1.0,1514,True,True,"Guangzhou: 59.43.187.182; Nanjing: 59.43.123.89, 59.43.16.166, 59.43.187.182; Beijing: 59.43.181.222, 59.43.246.210; Guangzhou: 59.43.183.106",https://globalping.io?measurement=2gYTdtB8KiOKlJlB700020wGe,cn2_gt,2026-08-13T05:37:11Z,cn2_gt,"Guangzhou: 59.43.187.182; Nanjing: 59.43.123.89, 59.43.16.166, 59.43.187.182; Beijing: 59.43.181.222, 59.43.246.210; Guangzhou: 59.43.183.106"
23.26.201.245,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,1.0,,True,True,"Nanjing: 59.43.123.89, 59.43.22.41; Beijing: 59.43.145.62, 59.43.22.41",https://globalping.io?measurement=2G5gN5x8LiSZOTYe500020wFk,cn2_gt,2026-08-13T04:40:55Z,cn2_gt,"Nanjing: 59.43.123.89, 59.43.22.41; Beijing: 59.43.145.62, 59.43.22.41"
23.27.48.62,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,1.0,3968,True,True,Guangzhou: 59.43.16.166,https://globalping.io?measurement=2awy0lCEMDJPIf2AP00020wGC,cn2_gt,2026-08-13T05:08:39Z,cn2_gt,Guangzhou: 59.43.16.166
38.175.192.154,443,HK,香港,HKG,979,NetLab Global,1.0,,True,True,"Nanjing: 59.43.123.89, 59.43.22.41, 59.43.248.246; Nanjing: 59.43.139.113, 59.43.16.166, 59.43.183.110",https://globalping.io?measurement=2paAxP5Apm2uTj5kU00020w5c,cn2_gt,,cn2_gt,
