ip,port,country,city,datacenter,asn,organization,source_latency_ms,baidu_delay_ms,tested,cn2,cn2_evidence,trace_url,trace_status,traced_at,route_class,route_evidence
23.141.52.44,443,HK,新加坡,SIN,150452,LANDUPS LIMITED,1.0,1364,True,False,,https://globalping.io?measurement=23648mHscmYVvokDq00020wGD,other,2026-08-13T05:09:21Z,other,
23.175.201.28,443,HK,香港,HKG,62711,Maxwell Telecom LLC,1.0,3648,True,False,,https://globalping.io?measurement=2AiczTqCBxGCRldZy00020wI3,other,2026-08-13T07:03:36Z,other,
23.225.247.214,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,1373,True,False,,https://globalping.io?measurement=2Xyixr0gBchFPVkuj00020wGC,other,2026-08-13T05:09:04Z,other,
23.225.247.219,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,5057,True,False,,https://globalping.io?measurement=2boCRc8ZrSZX5oxaz00020wHw,other,2026-08-13T06:57:11Z,other,
23.225.247.220,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,2759,True,False,,https://globalping.io?measurement=2RtxNZdF6tSRGFP1x00020wH1,other,2026-08-13T05:59:18Z,other,
38.180.189.21,443,HK,香港,HKG,9009,M247 Europe SRL,1.0,,True,False,,https://globalping.io?measurement=27odOnPQWhSoAemdX00020wHx,other,2026-08-13T06:57:25Z,other,
43.155.109.139,443,HK,香港,HKG,132203,"Tencent Building, Kejizhongyi Avenue",1.0,,True,False,,https://globalping.io?measurement=2WC8OXbHy4Glrjq3Z00020wF6,other,2026-08-13T04:00:43Z,other,
43.169.18.179,443,HK,香港,HKG,139341,ACE,1.0,3149,True,False,,https://globalping.io?measurement=29G6zZfgUC8waFhMi00020wHc,other,2026-08-13T06:36:45Z,other,
43.169.19.179,443,HK,香港,HKG,139341,ACE,1.0,5807,True,False,,https://globalping.io?measurement=2SB9UlXNggFIL13TZ00020wGp,other,2026-08-13T05:47:48Z,other,
45.192.204.3,443,HK,香港,HKG,61112,AKILE LTD,1.0,2267,True,False,,https://globalping.io?measurement=209kUDuWT1JDbcMcQ00020wI2,other,2026-08-13T07:03:08Z,other,
45.87.102.5,443,HK,香港,HKG,53808,MoeDove,1.0,2082,True,False,,https://globalping.io?measurement=2e1GFJWraA6jLwYfz00020wH1,other,2026-08-13T05:59:26Z,other,
83.147.60.79,443,HK,香港,HKG,202662,Hytron Network Services Limited,1.0,2768,True,False,,https://globalping.io?measurement=2jIad8wVqkhVfUuDG00020wHC,other,2026-08-13T06:10:38Z,other,
85.121.245.72,443,HK,香港,HKG,9009,M247 Europe SRL,1.0,4419,True,False,,https://globalping.io?measurement=2740HX7PDaYoNnELD00020wI3,other,2026-08-13T07:03:34Z,other,
85.121.51.219,443,HK,香港,HKG,9009,M247 Europe SRL,1.0,4880,True,False,,https://globalping.io?measurement=2ydO9d3H9sNJTszP500020wI3,other,2026-08-13T07:03:20Z,other,
87.229.25.243,443,HK,香港,HKG,152918,Liberally Network LLC,1.0,,True,False,,https://globalping.io?measurement=2OGVU3Zu2vPqS4X1L00020wH1,other,2026-08-13T05:59:33Z,other,
91.110.182.6,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,,True,False,,https://globalping.io?measurement=2XYMLny239976wNOA00020wF6,other,2026-08-13T04:00:43Z,other,
91.110.209.102,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,1292,True,False,,https://globalping.io?measurement=2XV3rBy7TsfqTp0U800020wFq,other,2026-08-13T04:46:42Z,other,
91.110.209.106,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,,True,False,,https://globalping.io?measurement=2EggE1MfmCSfaM45600020xNc,other,2026-08-16T04:52:40Z,other,
91.110.209.111,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,2819,True,False,,https://globalping.io?measurement=2tRHURA26wuzaWJTF00020wF6,other,2026-08-13T04:00:43Z,other,
91.110.209.119,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,1875,True,False,,https://globalping.io?measurement=2zrP4bEzJKeq60H8o00020wF6,other,2026-08-13T04:00:43Z,other,
91.110.209.120,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,2139,True,False,,https://globalping.io?measurement=2ECcBIhxfh2B4rH8q00020wEK,other,2026-08-13T03:12:20Z,other,
91.110.209.123,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,1386,True,False,,https://globalping.io?measurement=2yRtHHfDUviWcN3v600020wF6,other,2026-08-13T04:00:47Z,other,
91.110.209.125,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,9138,True,False,,https://globalping.io?measurement=2wHI243KdyzhgAKvT00020wEl,other,2026-08-13T03:40:08Z,other,
91.110.209.126,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,1364,True,False,,https://globalping.io?measurement=2rTSVsWmmphQELy0A00020wFq,other,2026-08-13T04:46:28Z,other,
91.110.209.45,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,3275,True,False,,https://globalping.io?measurement=2MDQI712ofVKErdOX00020wEJ,other,2026-08-13T03:12:04Z,other,
91.110.209.51,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,,True,False,,https://globalping.io?measurement=2jJKgVpGamUutNrrq00020wWa,other,2026-08-13T22:04:19Z,other,
91.110.209.52,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,2845,True,False,,https://globalping.io?measurement=2EIvWL6nhbZsCKpU200020wF6,other,2026-08-13T04:00:57Z,other,
91.110.209.53,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,1279,True,False,,https://globalping.io?measurement=2MY2UDYhPUtma8qkW00020wEm,other,2026-08-13T03:40:32Z,other,
91.110.209.59,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,5585,True,False,,https://globalping.io?measurement=2ii5Gi2qgDRjhXRiC00020wEh,other,2026-08-13T03:36:06Z,other,
